Amsterdam, 52.3667, 4.8833
Rotterdam, 51.92, 4.48
The Hague, 52.08, 4.31
Utrecht, 52.0908, 5.1217
Maastricht, 50.8667, 5.6833
Harssens, 53.2642, 6.5431
Eindhoven, 51.4344, 5.4842
Groningen, 53.2167, 6.5667
Tilburg, 51.5572, 5.0911
Almere, 52.3758, 5.2256
Breda, 51.5875, 4.775
Nijmegen, 51.8425, 5.8528
Arnhem, 51.9833, 5.9167
Haarlem, 52.3803, 4.6406
Enschede, 52.2225, 6.8925
’s-Hertogenbosch, 51.7002, 5.3068
Amersfoort, 52.155, 5.3875
Zaanstad, 52.4697, 4.7767
Apeldoorn, 52.21, 5.97
Zwolle, 52.5167, 6.1
Zoetermeer, 52.0611, 4.4933
Leeuwarden, 53.2, 5.7833
Leiden, 52.16, 4.49
Dordrecht, 51.7958, 4.6783
Alphen aan den Rijn, 52.1333, 4.65
Alkmaar, 52.632, 4.751
Delft, 52.0117, 4.3592
Emmen, 52.7833, 6.9
Deventer, 52.25, 6.1667
Amstelveen, 52.3019, 4.8581
Helmond, 51.4797, 5.6556
Oss, 51.7667, 5.5167
Hilversum, 52.23, 5.18
Heerlen, 50.8833, 5.9833
Lelystad, 52.5167, 5.4833
Purmerend, 52.505, 4.9639
Hengelo, 52.2656, 6.7931
Schiedam, 51.9167, 4.4
Zaandam, 52.4417, 4.8422
Hoofddorp, 52.3, 4.6667
Roosendaal, 51.5314, 4.4556
Hoorn, 52.6425, 5.0597
Vlaardingen, 51.9167, 4.35
Gouda, 52.0181, 4.7056
Almelo, 52.3567, 6.6625
Spijkenisse, 51.8333, 4.3167
Ede, 52.0436, 5.6667
Assen, 52.9953, 6.5606
Bergen op Zoom, 51.5, 4.3
Capelle aan den IJssel, 51.9357, 4.5782
Veenendaal, 52.025, 5.555
Katwijk, 52.2008, 4.4153
Zeist, 52.0833, 5.2333
Nieuwegein, 52.0314, 5.0919
Scheveningen, 52.1081, 4.2731
Barneveld, 52.1333, 5.5833
Hardenberg, 52.5758, 6.6194
Heerhugowaard, 52.668, 4.841
Doetinchem, 51.9656, 6.2889
Roermond, 51.1933, 5.9872
Den Helder, 52.9583, 4.7589
Oosterhout, 51.6431, 4.8569
Drachten, 53.1, 6.1
Hoogeveen, 52.7167, 6.4667
Rijswijk, 52.0456, 4.33
Kampen, 52.55, 5.9
Terneuzen, 51.3333, 3.8333
Woerden, 52.0858, 4.8833
Houten, 52.0261, 5.1728
Weert, 51.251, 5.709
Harderwijk, 52.3506, 5.6172
Middelburg, 51.4997, 3.6136
Waalwijk, 51.6825, 5.0694
Barendrecht, 51.85, 4.5333
IJmuiden, 52.4586, 4.6194
Zutphen, 52.14, 6.195
Soest, 52.1733, 5.2917
Ridderkerk, 51.8667, 4.6
Schagen, 52.7886, 4.8019
Veldhoven, 51.42, 5.405
Kerkrade, 50.8667, 6.0667
Medemblik, 52.7674, 5.1037
Zwijndrecht, 51.824, 4.6126
Vlissingen, 51.45, 3.5833
Zevenaar, 51.9167, 6.0833
Noordwijk, 52.2333, 4.4333
Etten-Leur, 51.5706, 4.6356
Venray, 51.5258, 5.9747
Nijkerk, 52.2214, 5.4842
Rheden, 52.0, 6.0167
De Bilt, 52.1106, 5.1817
Voorburg, 52.07, 4.355
Dronten, 52.5242, 5.7125
Tiel, 51.8833, 5.4333
Beverwijk, 52.4864, 4.6572
Uden, 51.6667, 5.6167
Wijchen, 51.8067, 5.7211
Huizen, 52.2994, 5.2531
Hellevoetsluis, 51.8333, 4.1333
Maarssen, 52.1408, 5.0394
Wageningen, 51.9644, 5.6631
Heemskerk, 52.5108, 4.6728
Goes, 51.5, 3.8833
Veghel, 51.6169, 5.5481
Raalte, 52.3828, 6.2828
Teijlingen, 52.215, 4.5103
Venlo, 51.37, 6.1681
Gorinchem, 51.8306, 4.9742
Landgraaf, 50.9083, 6.0297
Sittard, 51.0, 5.8667
Geleen, 50.9667, 5.8333
Castricum, 52.5517, 4.6583
Hellendoorn, 52.3885, 6.4497
Hoogvliet, 51.8667, 4.35
Coevorden, 52.661, 6.7405
Leidschendam, 52.0883, 4.3944
Tynaarlo, 53.0833, 6.6
Meppel, 52.6958, 6.1944
Lochem, 52.1606, 6.4158
Sneek, 53.0325, 5.66
IJsselstein, 52.02, 5.0422
Maassluis, 51.9189, 4.2567
Havelterberg, 52.775, 6.1853
Epe, 52.3464, 5.9842
Boxtel, 51.5911, 5.3275
Deurne, 51.4639, 5.7947
Bussum, 52.2733, 5.1611
Oisterwijk, 51.5833, 5.2
Papendrecht, 51.8333, 4.6833
Aalsmeer, 52.2639, 4.7625
Stadskanaal, 52.9895, 6.9504
Oldenzaal, 52.3125, 6.9292
Vught, 51.6533, 5.2875
Nieuw-Vennep, 52.2639, 4.6375
Waddinxveen, 52.0333, 4.6333
Diemen, 52.3439, 4.9625
Hendrik-Ido-Ambacht, 51.85, 4.63
Valkenswaard, 51.35, 5.4592
Rosmalen, 51.7167, 5.3667
Lonneker, 52.2506, 6.9119
Leusden, 52.1331, 5.4297
Best, 51.5108, 5.3922
Uithoorn, 52.2375, 4.8264
